Actor,Character,Episodes_Count,Years
Rainn Wilson,Dwight Schrute,188,2005-2013
John Krasinski,Jim Halpert,188,2005-2013
Jenna Fischer,Pam Beesly,188,2005-2013
Leslie David Baker,Stanley Hudson,188,2005-2013
Brian Baumgartner,Kevin Malone,188,2005-2013
Angela Kinsey,Angela Martin,188,2005-2013
Kate Flannery,Meredith Palmer,186,2005-2013
Phyllis Smith,Phyllis Vance,186,2005-2013
Creed Bratton,Creed Bratton,174,2005-2013
Oscar Nuñez,Oscar Martinez,176,2005-2013
B.J. Novak,Ryan Howard,163,2005-2013
Mindy Kaling,Kelly Kapoor,157,2005-2013
Ed Helms,Andy Bernard,147,2006-2013
Steve Carell,Michael Scott,138,2005-2013
Paul Lieberstein,Toby Flenderson,137,2005-2013
Craig Robinson,Darryl Philbin,118,2005-2013
Ellie Kemper,Erin Hannon,102,2009-2013
Zach Woods,Gabe Lewis,51,2010-2013
Melora Hardin,Jan Levinson,41,2005-2013
Andy Buckley,David Wallace,33,2006-2013
Catherine Tate,Nellie Bertram,34,2011-2013
David Denman,Roy Anderson,31,2005-2012
Rashida Jones,Karen Filippelli,26,2006-2011
James Spader,Robert California,25,2011-2012
Robert R. Shafer,Bob Vance,24,2005-2013
Hugh Dane,Hank,22,2005-2013
Jake Lacy,Pete Miller,21,2012-2013
Clark Duke,Clark,19,2012-2013
Mark Proksch,Nate,19,2010-2013
Amy Ryan,Holly Flax,17,2008-2011
David Koechner,Todd Packer,15,2005-2013
Calvin Tenner,Calvin,13,2008-2013
Ameenah Kaplan,Val,14,2011-2013
Jack Coleman,State Senator Rob Lipton,13,2010-2013
Michael Schur,Mose,13,2006-2013
Lindsey Broad,Cathy Simms,12,2011-2012
Linda Purl,Helene Beesly,9,2009-2013
Kathy Bates,Jo Bennett,8,2010-2011
Hidetoshi Imura,Hidetoshi Hasagawa,8,2009-2013
Charles Esten,Josh Porter,7,2006
Idris Elba,Charles Miner,7,2009
Nancy Carell,Carol Stills,7,2005-2013
Karly Rothenberg,Madge,7,2005-2011
Ursula Burton,Hannah Smotridge-Barr,6,2006
Sam Richardson,"Colin, Athlead Employee",6,2012-2013
Chris Diamantopoulos,Brian,5,2013
Amy Pietz,Donna,5,2010
Nelson Franklin,Nick,5,2008-2010
Lee Eisenberg,Gino,5,2006-2011
Nora Kirkpatrick,Esther,5,2013
Joanne Carlsen,Teri Hudson,4,2005-2012
Sienna Paige Strull,Cecelia Halpert,4,2012-2013
Marcus A. York,Billy Merchant,4,2006-2009
Will Ferrell,Deangelo Vickers,4,2011
Tom Chick,Gil,4,2006-2007
Suzanne Watson,Stephanie,4,2009
Rick Overton,Mr. Beesly,4,2009-2010
Eleanor Seigler,Jessica,4,2011-2012
Gene Stupnitsky,Leo,4,2006-2009
Adam Lustick,Athlead Employee,4,2012-2013
James Urbaniak,Rolf,4,2009-2013
Ben Silverman,Isaac,4,2012-2013
Bailey Kate Strull,Cecelia Halpert,4,2012-2013
Michael Tuba Heatherton,The Minister,4,2010-2013
Lisa K. Wyatt,Lynn,3,2009
Kelen Coleman,Isabel Poreba,4,2009-2013
Noel Petok,Troy Undercook,3,2007-2013
Algerita Wynn,Cynthia,3,2009-2011
Trish Gates,Stacy,2,2005-2007
Stephen Saux,Justin Spitzer,3,2006-2013
Devon Abner,Devon White,2,2005-2013
Amy Adams,Katy,3,2005-2006
Patrice O'Neal,Lonny,3,2005-2007
Rob Huebel,A. J.,3,2009-2010
Sam Daly,Matt,3,2009-2010
Dan Cole,Dan Gore,3,2006-2007
Nicholas D'Agosto,Hunter,3,2007
Michael Patrick McGill,Kenny Anderson,3,2007-2012
Cody Horn,Jordan Garfield,3,2011
Mike Bruner,Tony Gardner,3,2006-2011
Georgia Engel,Irene,3,2012
Spencer Daniels,Jake Palmer,3,2006-2013
Sendhil Ramamurthy,Ravi,3,2012-2013
Matt Jones,Zeke Schrute,3,2013
Delaney Ruth Farrell,Sasha Flenderson,3,2006-2012
Jackie Debatin,Elizabeth the Stripper,3,2007-2013
Robert Pine,Gerald Halpert,3,2009-2010
Taylar Hollomon,Jada,3,2010-2012
John Hartmann,Kendall,2,2008-2009
Perry Smith,Betsy Halpert,2,2007-2013
Lance Krall,Sensei Ira,2,2005-2013
Larry Wilmore,Mr. Brown,2,2005-2006
Emily Evan Rae,Rebecca Prince,2,2009
Vivianne Collins,Headquarter Receptionist,2,2006-2007
Adam Jamal Craig,Rolando,2,2007-2009
Wayne Wilderson,Martin,2,2006
Beth Grant,Dwight's Babysitter,2,2008-2013
Chris Gethard,Trevor,2,2012-2013
Ranjit Chowdhry,Vikram,2,2007-2009
Rich Sommer,Alex,2,2008
Roseanne Barr,Carla Fern,2,2013
Tug Coker,Pete Halpert,2,2008-2009
Timothy Olyphant,Danny Cordray,2,2010
Josh Groban,"Walter Bernard, Jr.",2,2011-2012
Jennifer Ann Burton,NY Corporate Employee,2,2008
Jahmilla Jackson,Darryl's Sister,2,2009-2011
Michael Daniel Cassady,Gideon,2,2011
Dale Raoul,Ronni,2,2008-2009
Phil Abrams,Shelby Thomas Weems,2,2010
Keeshan Giles,Hospital Employee,2,2010
Blake Robbins,Tom Halpert,3,2008-2013
Blake Garrett Rosenthal,Cameron,2,2010-2013
Allan Havey,Mr. Bruegger,2,2013
Jake Kalender,Young Michael Scott,2,2006-2007
Alec Gray,Blonde Kid,2,2005-2006
Owen Daniels,Eight-Year-Old Kid,2,2007-2010
Mary Gillis,Aunt Shirley,2,2013
Tina Huang,On-Air Reporter,2,2010
Fred Cross,Wesley Silver,2,2013
Jean Villepique,Rachel Wallace,2,2007-2010
Omi Vaidya,Sadiq,2,2005-2007
Mike E. Winfield,New Warehouse Guy,2,2011
Peggy Stewart,Sylvia,2,2009-2010
Jerry Minor,Brandon,2,2012
Eric Wareheim,Gabor,2,2013
Jazz Raycole,Melissa Hudson,1,2006-2007
Elvy,Megan,2,2008-2009
Anna Camp,Penny Beesly,2,2009
Daniel Amerman,Russell,1,2012-2013
Lori Murphy Saux,Announcer,1,2008-2012
Kelly Daly,Bertha,1,2013
Kamala Jones,Edna,1,2013
Jennie Tan,Audience Member,1,2009-2013
Tim Meadows,Christian,1,2005
Ken Howard,Ed Truck,1,2006
Charlie Hartsock,Travel Agent,1,2005
